/img                  (Status: 301) [Size: 345] [--> http://192.168.147.53:8080/img/]
/site                 (Status: 301) [Size: 346] [--> http://192.168.147.53:8080/site/]
/licenses             (Status: 403) [Size: 1205]
/examples             (Status: 503) [Size: 1060]
/dashboard            (Status: 301) [Size: 351] [--> http://192.168.147.53:8080/dashboard/]
/%20                  (Status: 403) [Size: 1046]
/IMG                  (Status: 301) [Size: 345] [--> http://192.168.147.53:8080/IMG/]
/Site                 (Status: 301) [Size: 346] [--> http://192.168.147.53:8080/Site/]
/*checkout*           (Status: 403) [Size: 1046]
/Img                  (Status: 301) [Size: 345] [--> http://192.168.147.53:8080/Img/]
/phpmyadmin           (Status: 403) [Size: 1205]
/webalizer            (Status: 403) [Size: 1046]
/*docroot*            (Status: 403) [Size: 1046]
/*                    (Status: 403) [Size: 1046]
/con                  (Status: 403) [Size: 1046]
/Dashboard            (Status: 301) [Size: 351] [--> http://192.168.147.53:8080/Dashboard/]
/http%3A              (Status: 403) [Size: 1046]
/**http%3a            (Status: 403) [Size: 1046]
/xampp                (Status: 301) [Size: 347] [--> http://192.168.147.53:8080/xampp/]
/aux                  (Status: 403) [Size: 1046]
/*http%3A             (Status: 403) [Size: 1046]
/**http%3A            (Status: 403) [Size: 1046]
/%C0                  (Status: 403) [Size: 1046]
/SITE                 (Status: 301) [Size: 346] [--> http://192.168.147.53:8080/SITE/]
